# rom	genre	players	orientation	parent	title	year	maker -- made by tools/make-gameinfo.py from FinalBurn Neo
nbajamten	Sports	4	horizontal	nbajamte	NBA Jam Tournament Edition (Nani Edition, rev 5.2 8/11/95, prototype)	1995	Midway
nbajamtep2	Sports	4	horizontal	nbajamte	NBA Jam Tournament Edition (proto 2.00 12/17/93)	1993	Midway
nbamht	Sports	4	horizontal	nbahangt	NBA Maximum Hangtime (ver L1.03 06/09/97)	1996	Midway
nbamhtl10	Sports	4	horizontal	nbahangt	NBA Maximum Hangtime (ver L1.0 11/08/96)	1996	Midway
nbamhtm10	Sports	4	horizontal	nbahangt	NBA Maximum Hangtime (ver M1.0 11/08/96)	1996	Midway
nbamhtp	Sports	4	horizontal	nbahangt	NBA Maximum Hangtime (ver L0.9 10/30/96)	1996	Midway
nbamhtx	Sports	4	horizontal	nbahangt	NBA Super Maximum Hangtime (Custom Rebuild 07/02/26)	2026	hack
nbbat1v2	Beat 'em up	4	horizontal	nbbatman	Ninja Baseball Batman (1v2, Hack)	2020	hack
nbbat1v4	Beat 'em up	4	horizontal	nbbatman	Ninja Baseball Batman (1v4, Hack)	2020	hack
nbbat1v8	Beat 'em up	4	horizontal	nbbatman	Ninja Baseball Batman (1v8, Hack)	2020	hack
nbbatman	Beat 'em up	4	horizontal		Ninja Baseball Bat Man (World)	1993	Irem
nbbatmano	Beat 'em up	4	horizontal	nbbatman	Ninja Baseball Batman (One Key Edition, Hack)	2020	hack
nbbatmanu	Beat 'em up	4	horizontal	nbbatman	Ninja Baseball Bat Man (US)	1993	Irem America
nbbatmbh	Beat 'em up	4	horizontal	nbbatman	Ninja Baseball Batman (Transform, Hack)	2016	hack
nbbatmx2	Beat 'em up	4	horizontal	nbbatman	Ninja Baseball Batman (X2, Hack)	2018	hack
nblktiger	Run & gun / Platform	1	horizontal		Neo Black Tiger (HB, Demo)	2020	OzzyOuzo
ncombat	Beat 'em up	2	horizontal		Ninja Combat (NGM-009)	1990	Alpha Denshi Co.
ncombath	Beat 'em up	2	horizontal	ncombat	Ninja Combat (NGH-009)	1990	Alpha Denshi Co.
ncommand	Vertical shooter	2	horizontal		Ninja Commando	1992	Alpha Denshi Co.
nebulbee	Vertical shooter	2	vertical	galaga	Nebulous Bee	1981	bootleg
nebulray	Vertical shooter	2	vertical		Nebulas Ray (World, NR2)	1994	Namco
nebulrayj	Vertical shooter	2	vertical	nebulray	Nebulas Ray (Japan, NR1)	1994	Namco
neckneck	Misc	2	horizontal		Neck-n-Neck (v1.2)	1992	Bundra Games / Incredible Technologies
nemesis	Horizontal shooter	2	horizontal		Nemesis (ROM version)	1985	Konami
nemesisuk	Horizontal shooter	2	horizontal	nemesis	Nemesis (World?, ROM version)	1985	Konami
nemo	Platform	2	horizontal		Nemo (World 901130)	1990	Capcom
nemoj	Platform	2	horizontal	nemo	Nemo (Japan 901120, 88622B-3 ROM board)	1990	Capcom
nemoja	Platform	2	horizontal	nemo	Nemo (Japan 901120, 89625B-1 ROM board)	1990	Capcom
nemor1	Platform	2	horizontal	nemo	Nemo (World 901109)	1990	Capcom
neo2048	Puzzle	1	horizontal		Neo 2048 (HB)	2021	Nicole Express
neo2500	Misc	2	horizontal		Neo 2500 Demo	2004	blastar@gmx.net
neo3ddmo	Misc	1	horizontal		NeoGeo 3D! (HB, Demo)	2012	Oxygene
neobattl	Vertical shooter	2	vertical		SD Gundam Neo Battling (Japan)	1992	Banpresto
neobombe	Maze	2	horizontal		Neo Bomberman	1997	Hudson
neocdz	Misc	2	horizontal		Neo Geo CDZ system	1996	SNK
neocstlv	Misc	1	horizontal		Neo CastleVania (HB, Demo)	2004	Barf/BarfHappy
neocup98	Football	2	horizontal		Neo-Geo Cup '98 - The Road to the Victory	1998	SNK
neodemo	Misc	2	horizontal		Chaos Demo (Neo Geo)	2002	Chaos
neodrift	Racing	2	horizontal		Neo Drift Out - New Technology	1996	Visco
neogalag	Misc	1	horizontal		Galaga Demo (HB, set 1)	2013	Cristiano Bei/www.iocerom.com
neogalaga	Misc	1	horizontal	neogalag	Galaga Demo (HB, set 2)	2013	Cristiano Bei/www.iocerom.com
neogeo	Misc	2	horizontal		Neo Geo MVS system	1990	SNK
neomrdo	Maze	2	horizontal		Neo Mr. Do!	1996	Visco
neonopon	Puzzle	2	horizontal		Neo No Panepon (HB, beta)	20??	blastar@gmx.net
neopang	Ball & paddle	2	horizontal		Neo Pang (HB)	2010	CeL
neopong	Ball & paddle	2	horizontal		Neo Pong (HB, v1.1)	2002	Neo Dev Corporation
neoponga	Ball & paddle	2	horizontal	neopong	Neo Pong (HB, v1.0)	2002	Neo Dev Corporation
neoprimo	Misc	1	horizontal		Primo (HB, Demo)	2013	iocerom.com
neotet	Puzzle	2	horizontal		NeoGeo 2-Player Tetris (HB)	2013	Crim/Stephen
neothndr	Horizontal shooter	1	horizontal		Neo Thunder (HB)	2012	Sebastian Mihai
neotris	Puzzle	4	horizontal		NeoTRIS (HB, Free Beta 2, ver. 202009)	2020	Chipsonsteroids
neoww2	Misc	1	horizontal		WW2 - Arcade Development Project (HB, Demo)	2012	Charles DOTY/RasterSoft
netwars	Shooter	2	vertical		Net Wars	1983	Orca (Esco Trading Co license)
newapunk	Maze	2	horizontal	bbmanw	New Atomic Punk - Global Quest (US)	1992	Irem America
newfant	Puzzle	2	vertical		New Fantasia (1995 copyright)	1995	Comad & New Japan System
newfanta	Puzzle	2	vertical	newfant	New Fantasia (1994 copyright)	1994	Comad & New Japan System
newpuc2	Maze / Action	2	vertical	puckman	Newpuc2 (set 1)	1980	hack
newpuc2b	Maze / Action	2	vertical	puckman	Newpuc2 (set 2)	1980	hack
newpuckx	Maze / Action	2	vertical	puckman	New Puck-X	1980	hack
news	Puzzle	1	horizontal		News (set 1)	1993	Poby / Virus
newsa	Puzzle	1	horizontal	news	News (set 2)	1993	Poby
newsin7	Maze	2	vertical		New Sinbad 7 (set 1)	1983	ATW USA, Inc.
newtangl	Sports / Action	2	horizontal	troangel	New Tropical Angel	1983	Irem
newxpang	Puzzle	2	horizontal		New Cross Pang (set 1)	1999	F2 System
newxpanga	Puzzle	2	horizontal	newxpang	New Cross Pang (set 2)	1999	F2 System
nextcent	Horizontal shooter	2	horizontal	defender	Next Century (bootleg of Defender)	1981	bootleg (Petaco)
nextfase	Shooter	2	vertical	phoenix	Next Fase (bootleg of Phoenix)	1981	bootleg (Petaco S.A.)
ng_mv1	Misc	0	horizontal		Neo Geo (MV-1)	1990	SNK
ng_mv1f	Misc	0	horizontal	ng_mv1	Neo Geo (MV-1F)	1990	SNK
ng_mv1fz	Misc	0	horizontal	ng_mv1	Neo Geo (MV-1FZ)	1990	SNK
ng_mv2f	Misc	0	horizontal		Neo Geo (MV-2F)	1990	SNK
ng_mv4f	Misc	0	horizontal		Neo Geo (MV-4F)	1990	SNK
ngcdtdd0	Platform	1	horizontal		NeoGeo/CD Jump & Run Techdemo Dez 2020 (HB, ver. 20201212)	2020	Blastar
ngem2k	Puzzle	2	horizontal		NGEM2K (HB, beta 2006-01-18)	2006	homebrew
ngfrog	Action	2	horizontal		Neo Frog Feast (HB)	2006	Rastersoft
ngftdemo	Misc	1	horizontal		NGF Transparency (HB, Demo)	2012	CeL/redarmor.net
ngmontst	Misc	2	horizontal		Monitor Test Patterns Tool (v1.3)	2022	M.Priewe / NeoHomeBrew
ngp_aerialm	Horizontal shooter	1	horizontal		Aerial Mini (HB)	2025	Inufuto
ngp_anotherdih	Vertical shooter	1	horizontal		Another Day in Hell (HB, v1.1)	200x	Thor & Iceman
ngp_anotherdiha	Vertical shooter	1	horizontal	ngp_anotherdih	Another Day in Hell (HB, v1.1, Alt)	200x	Thor & Iceman
ngp_antiairm	Vertical shooter	1	horizontal		AntiAir Mini (HB)	2025	Inufuto
ngp_ascendm	Action / Platform	1	horizontal		Ascend Mini (HB)	2025	Inufuto
ngp_awassm	Platform / Puzzle	1	horizontal		Awass Micro (HB)	2026	Inufuto
ngp_bakumats	Fighting	2	horizontal	ngp_lastblad	Bakumatsu Rouman Tokubetsu Hen (Japan)	2000	SNK
ngp_bam	Puzzle	1	horizontal	ngp_pbobble	Bust-A-Move Pocket (USA)	1999	SNK
ngp_bamp	Puzzle	1	horizontal	ngp_pbobble	Bust-A-Move Pocket (USA, Prototype)	1999	SNK
ngp_barbarian	Fighting	1	horizontal		Barbarian: The Ultimate Warrior (HB)	200x	Loic Julien
ngp_barbinv	Shooter	1	horizontal		Barbarian Invaders (HB, v1.01)	200x	Chris Ahchay
ngp_battlotm	Maze / Run & gun	1	horizontal		Battlot Mini (HB)	2025	Inufuto
ngp_bigbang	Fighting	2	horizontal	ngp_wrestmad	Big Bang Pro Wrestling (Japan)	2000	SNK
ngp_bikkuri	Adventure / Casino	1	horizontal		Bikkuriman 2000: Viva! Pocket Festiva! (Japan)	2000	Sega Toys
ngp_biomotor	RPG	1	horizontal		BioMotor Unitron (Euro, USA)	1999	SNK
ngp_biomotorj	RPG	1	horizontal	ngp_biomotor	BioMotor Unitron (Japan)	1999	SNK - Yumekobo
ngp_bomberman	Maze / Action	1	horizontal		Bomberman (HB, v1.1)	200x	Thor
ngp_bootskellm	Action / Maze	1	horizontal		Bootskell Mini (HB)	2025	Inufuto
ngp_bstars	Sports	2	horizontal		Baseball Stars - Pocket Sports Series (Euro, Japan)	1998	SNK
ngp_bstarsc	Sports	2	horizontal		Baseball Stars Color - Pocket Sports Series (World)	1999	SNK
ngp_cacormm	Action / Maze	1	horizontal		Cacorm Mini (HB)	2025	Inufuto
ngp_cavitm	Action	1	horizontal		Cavit Mini (HB)	2025	Inufuto
ngp_columns	Puzzle	1	horizontal		Columns (HB)	2007	Thor
ngp_coolboar	Sports	1	horizontal		Cool Boarders Pocket (Euro, Japan)	2000	UEP Systems
ngp_coolcool	Action / Adventure	1	horizontal		Cool Cool Jam (Euro, USA, Sample-Demo)	2000	SNK
ngp_coolcoolj	Action / Adventure	1	horizontal	ngp_coolcool	Cool Cool Jam (Japan)	2000	SNK
ngp_cotton	Horizontal shooter	1	horizontal		Fantastic Night Dreams Cotton (Euro)	2000	Success
ngp_cottonj	Horizontal shooter	1	horizontal	ngp_cotton	Fantastic Night Dreams Cotton (Japan)	2000	Success
ngp_crackym	Action / Platform	1	horizontal		Cracky Mini (HB)	2025	Inufuto
ngp_crushrol	Action / Maze	1	horizontal		Crush Roller (World)	1999	SNK - ADK Corp.
ngp_darkarms	RPG	1	horizontal		Dark Arms: Beast Buster 1999 (World)	1999	SNK
ngp_darkarmsp	RPG	1	horizontal	ngp_darkarms	Dark Arms: Beast Buster 1999 (Euro, USA, Prototype)	1999	SNK
ngp_ddmr	Action	1	horizontal		Don't Die, Mr. Robot! (HB, v2.0.3)	2025	Chris Ahchay - Infinite State Games
ngp_deltawrp	Puzzle	1	horizontal		Delta Warp (Japan)	2000	IOSYS Co.
ngp_dendego2	Simulation	1	horizontal		Densha de GO! 2 on Neo Geo Pocket (Japan)	1999	SNK
ngp_dendego2p	Simulation	1	horizontal	ngp_dendego2	Densha de Go! 2 on Neo Geo Pocket (Japan, Prototype)	1999	SNK
ngp_diamondrun	Action / Maze	1	horizontal		Diamond Run (HB)	200x	Ivan Mackintosh
ngp_divealrb	RPG	1	horizontal		Dive Alert: Becky's Version (Euro, USA)	1999	SNK - Sacnoth
ngp_divealrbj	RPG	1	horizontal	ngp_divealrb	Dive Alert: Rebecca Hen (Japan)	1999	SNK - Sacnoth
ngp_divealrm	RPG	1	horizontal		Dive Alert: Matt's Version (Euro, USA)	1999	SNK - Sacnoth
ngp_divealrmj	RPG	1	horizontal	ngp_divealrm	Dive Alert: Barn Hen (Japan)	1999	SNK - Sacnoth
ngp_divealrmjp	RPG	1	horizontal	ngp_divealrm	Dive Alert: Barn Hen (Japan, Prototype)	1999	SNK - Sacnoth
ngp_dodger	Action / Maze	1	horizontal		Dodger (HB)	2007	Ivan Mackintosh
ngp_dokodemo	Mahjong	2	horizontal		Dokodemo Mahjong (Japan)	1999	SNK - ADK Corp.
ngp_dynaslug	Sports	2	horizontal		Dynamite Slugger (Euro, Japan)	2000	SNK - ADK Corp.
ngp_evolutn	Strategy	1	horizontal		Evolution: Eternal Dungeons (Euro)	2000	SNK - ESP.
ngp_evolutnj	Strategy	1	horizontal	ngp_evolutn	Shinki Sekai Evolution: Hateshinai Dungeon (Japan)	2000	SNK - ESP.
ngp_faselei	RPG / Strategy	1	horizontal		Faselei! (Euro)	2000	SNK - Sacnoth
ngp_faseleij	RPG / Strategy	1	horizontal	ngp_faselei	Faselei! (Japan)	1999	SNK - Sacnoth
ngp_fatfury	Fighting	2	horizontal		Fatal Fury F-Contact - Pocket Fighting Series (World)	1999	SNK
ngp_fatfuryd	Fighting	2	horizontal	ngp_fatfury	Fatal Fury F-Contact - Pocket Fighting Series (World, Demo)	1999	SNK
ngp_fruitypalsr	Puzzle	1	horizontal		Fruity Pals' Revenge (HB, v1.2)	2025	Chris Ahchay - Infinite State Games
ngp_ganbaren	Action / Adventure	1	horizontal		Ganbare Neo Poke-kun (Japan)	2000	SNK
ngp_gardenia	Vertical shooter	1	horizontal		Gardenia (HB, v1.4)	2026	Chris Ahchay
ngp_gearsoffate	Puzzle	1	horizontal		Gears of Fate (HB)	2009	Thor
ngp_guntusm	Vertical shooter	1	horizontal		Guntus Mini (HB)	2025	Inufuto
ngp_hanadojo	Mahjong	2	horizontal		Soreike!! Hanafuda Doujou (Japan)	1999	Dyna Corp.
ngp_hopmanm	Platform	1	horizontal		Hopman Mini (HB)	2025	Inufuto
ngp_horatiogsb	Action / Sports	1	horizontal		Horatio Goes Snowboarding (HB)	2026	Chris Ahchay - Infinite State Games
ngp_impetusm	Vertical shooter	1	horizontal		Impetus Mini (HB)	2025	Inufuto
ngp_impetuspm	Vertical shooter	1	horizontal		Impetus+ Micro (HB)	2025	Inufuto
ngp_infinity	Adventure	1	horizontal		Infinity Cure (Japan)	2000	KID
ngp_judgedredd	Adventure	1	horizontal		Judge Dredd in House of Death (HB)	2026	Chris Ahchay
ngp_jurl	Action	1	horizontal		Jurl (HB)	2025	Tonsomo Entertainment
ngp_kikousei	RPG	1	horizontal		Kikou Seiki Unitron: Sono Tsuide. Hikari Umareru Chi Yori. (Japan)	2000	SNK - Yumekobo
ngp_kof_mlon	Adventure / Fighting	2	horizontal		King of Fighters R-1 & Melon-chan no Seichou Nikki (Japan, Prototype)	1998	SNK
ngp_kofpara	Board	2	horizontal		King of Fighters, The: Battle de Paradise (Japan)	2000	SNK
ngp_kofparae	Board	2	horizontal	ngp_kofpara	King of Fighters, The: Battle de Paradise (Hack, English)	2025	marc_max
ngp_kofr1	Fighting	2	horizontal		King of Fighters R-1 - Pocket Fighting Series (Euro, Japan)	1998	SNK
ngp_kofr2	Fighting	2	horizontal		King of Fighters R-2 - Pocket Fighting Series (World)	1999	SNK
ngp_kofr2d	Fighting	2	horizontal	ngp_kofr2	King of Fighters R-2 - Pocket Fighting Series (World, Demo)	1999	SNK
ngp_kofr2d2	Fighting	2	horizontal	ngp_kofr2	King of Fighters R-2 - Pocket Fighting Series (World, Demo v2)	1999	SNK
ngp_koikoi	Mahjong	2	horizontal		Koi Koi Mahjong (Japan)	2000	Visco Corp.
ngp_lastblad	Fighting	2	horizontal		Last Blade, The: Beyond the Destiny (Euro)	2000	SNK
ngp_liftm	Action / Platform	1	horizontal		Lift Mini (HB)	2025	Inufuto
ngp_magdrop	Puzzle	2	horizontal		Magical Drop Pocket (Euro, USA)	1999	SNK
ngp_magdropj	Puzzle	2	horizontal	ngp_magdrop	Magical Drop Pocket (Japan)	1999	Data East
ngp_magdropjd	Puzzle	2	horizontal	ngp_magdrop	Magical Drop Pocket (Japan, Demo)	1999	Data East
ngp_mazy2m	Action / Maze	1	horizontal		Mazy 2 Micro (HB)	2025	Inufuto
ngp_mazym	Action / Maze	1	horizontal		Mazy Mini (HB)	2025	Inufuto
ngp_melonchn	Adventure	1	horizontal		Melon-chan no Seichou Nikki (Japan)	1998	SNK - ADK Corp.
ngp_memories	RPG	1	horizontal		Memories Off: Pure (Japan)	2000	KID
ngp_mezase	Quiz	1	horizontal		Mezase! Kanji Ou (Japan)	2000	SNK
ngp_mieyenm	Action / Maze	1	horizontal		Mieyen Mini (HB)	2025	Inufuto
ngp_mine	Puzzle / Strategy	1	horizontal		Mine (HB)	2000	Ivan Mackintosh
ngp_mizuki	RPG	1	horizontal		Mizuki Shigeru no Youkai Shashinkan (Japan)	1999	SNK
ngp_mminer	Action	1	horizontal		Manic Miner (HB, v1.0)	2001	Lindon Dodd
ngp_mrdo	Action	1	horizontal		Mr. Do! (HB)	200x	Chris Ahchay
ngp_mslug1st	Platform / Run & gun	1	horizontal		Metal Slug: 1st Mission (World)	1999	SNK
ngp_mslug2nd	Platform / Run & gun	1	horizontal		Metal Slug: 2nd Mission (World)	2000	SNK
ngp_mslug2ndd	Platform / Run & gun	1	horizontal	ngp_mslug2nd	Metal Slug: 2nd Mission (World, Demo)	2000	SNK
ngp_neo21	Card / Casino	1	horizontal		Neo 21 - Real Casino Series (World)	2000	Dyna Corp.
ngp_neobacca	Card / Casino	1	horizontal		Neo Baccarat - Real Casino Series (World)	2000	SNK
ngp_neobaccap	Card / Casino	1	horizontal	ngp_neobacca	Neo Baccarat - Real Casino Series (World, Prototype)	2000	SNK
ngp_neocher	Casino	2	horizontal		Neo Cherry Master - Real Casino Series (Euro, Japan)	1998	Dyna Corp.
ngp_neocherc	Casino	1	horizontal		Neo Cherry Master Color - Real Casino Series (World)	1999	Dyna Corp.
ngp_neochercp	Casino	1	horizontal	ngp_neocherc	Neo Cherry Master Color - Real Casino Series (World, Prototype)	1999	Dyna Corp.
ngp_neocup98	Football	2	horizontal		Neo Geo Cup '98 - Pocket Sports Series (Euro, Japan)	1998	SNK
ngp_neocuppl	Football	2	horizontal		Neo Geo Cup '98 Plus - Pocket Sports Series (World)	1999	SNK
ngp_neoderby	Sports	2	horizontal		Neo Derby Champ Daiyosou (Japan)	1999	Dyna Corp.
ngp_neodrag	Card / Casino	1	horizontal		Neo Dragon's Wild - Real Casino Series (World, v1.13)	1999	Dyna Corp.
ngp_neodraga	Card / Casino	1	horizontal	ngp_neodrag	Neo Dragon's Wild - Real Casino Series (World, v1.11)	1999	Dyna Corp.
ngp_neomystr	Casino	1	horizontal		Neo Mystery Bonus - Real Casino Series (World)	1999	Dyna Corp.
ngp_neoproyk	Sports	2	horizontal		Neo Poke Pro Yakyuu - Pocket Sport Series (Japan)	1999	SNK - ADK Corp.
ngp_neoturfm	Sports	2	horizontal		Neo Turf Masters - Pocket Sport Series (World)	1999	SNK
ngp_neurasm	Action / Maze	1	horizontal		Neuras Mini (HB)	2025	Inufuto
ngp_nigeronp	RPG	1	horizontal		Nige-ron-pa (Japan)	2000	Dennou Eizo
ngp_nigeronpe	RPG	1	horizontal	ngp_nigeronp	Nige-ron-pa (Hack, English v0.9)	2018	Loic
ngp_oekakip	Puzzle	1	horizontal	ngp_picturep	Oekaki Puzzle (Japan)	2000	Success
ngp_ogrebatl	RPG / Strategy	1	horizontal		Ogre Battle Gaiden: Prince of Zenobia (Japan)	2000	SNK
ngp_osotosm	Action / Platform	1	horizontal		Osotos Mini (HB)	2025	Inufuto
ngp_pachinko	Casino	1	horizontal		Pachinko Hisshou Guide: Pocket Parlor (Japan)	1999	Japan Vistec
ngp_pacman	Action / Maze	1	horizontal		Pac-Man (World)	1999	SNK - Namco
ngp_pbobble	Puzzle	1	horizontal		Puzzle Bobble Mini (Euro, Japan, v1.10)	1999	SNK
ngp_pbobblea	Puzzle	1	horizontal	ngp_pbobble	Puzzle Bobble Mini (Euro, Japan, v1.09)	1999	SNK
ngp_pbobbleb	Puzzle	1	horizontal	ngp_pbobble	Puzzle Bobble Mini (Euro, Japan, Prototype)	1999	SNK
ngp_picturep	Puzzle	1	horizontal		Picture Puzzle (Euro, USA)	2000	Success
ngp_pockrev	Board	2	horizontal		Pocket Reversi (Euro)	2000	Success
ngp_pockrevj	Board	2	horizontal	ngp_pockrev	Pocket Reversi (Japan)	2000	Success
ngp_poktlove	Adventure	1	horizontal		Pocket Love if (Japan)	1999	KID
ngp_ppaa01	Misc	1	horizontal		Prize Game - PP-AA01 Pusher Program (Japan)	199?	Aruze Corp.
ngp_prtymail	Misc	1	horizontal		Party Mail (Japan)	1999	SNK - ADK Corp.
ngp_prtymailp	Misc	1	horizontal	ngp_prtymail	Party Mail (Japan, Proto)	1999	SNK - ADK Corp.
ngp_pslotazt	Casino	1	horizontal		Pachi-Slot Aruze Oukoku Pocket: Azteca (Japan)	2000	Aruze Corp.
ngp_pslotdk2	Casino	1	horizontal		Pachi-Slot Aruze Oukoku Pocket: Dekahel 2 (Japan)	2001	Aruze Corp.
ngp_pslotds2	Casino	1	horizontal		Pachi-Slot Aruze Oukoku Pocket: Delsol 2 (Japan)	2000	Aruze Corp.
ngp_pslotecp	Casino	1	horizontal		Pachi-Slot Aruze Oukoku Pocket: e-Cup (Japan)	2001	Aruze Corp.
ngp_pslothan	Casino	1	horizontal		Pachi-Slot Aruze Oukoku Pocket: Hanabi (Japan, v1.04)	1999	Aruze Corp.
ngp_pslothana	Casino	1	horizontal	ngp_pslothan	Pachi-Slot Aruze Oukoku Pocket: Hanabi (Japan, v1.02)	1999	Aruze Corp.
ngp_pslotooh	Casino	1	horizontal		Pachi-Slot Aruze Oukoku Pocket: Oohanabi (Japan)	2000	Aruze Corp.
ngp_pslotpc2	Casino	1	horizontal		Pachi-Slot Aruze Oukoku Pocket: Porcano 2 (Japan)	2000	Aruze Corp.
ngp_pslotwrd	Casino	1	horizontal		Pachi-Slot Aruze Oukoku Pocket: Ward of Lights (Japan)	2000	Aruze Corp.
ngp_ptennis	Sports	2	horizontal		Pocket Tennis - Pocket Sports Series (Euro, Japan)	1998	SNK - Yumekobo
ngp_ptennisc	Sports	2	horizontal		Pocket Tennis Color - Pocket Sports Series (World)	1999	SNK - Yumekobo
ngp_puyopop	Puzzle	2	horizontal		Puyo Pop ~ Puyo Pyuo Tsuu (World, v1.06)	1999	Sega
ngp_puyopopa	Puzzle	2	horizontal	ngp_puyopop	Puyo Pop ~ Puyo Pyuo Tsuu (World, v1.05)	1999	Sega
ngp_puzzlink	Puzzle	2	horizontal		Puzzle Link (Euro)	1999	SNK - Yumekobo
ngp_puzzlnk2	Puzzle	1	horizontal		Puzzle Link 2 (Euro, USA)	1999	SNK - Yumekobo
ngp_rockmanb	Fighting	1	horizontal		Rockman: Battle & Fighters (Japan)	2000	Capcom
ngp_rockmanbd	Platform	1	horizontal	ngp_rockmanb	Rockman: Battle & Fighters (Japan, Demo)	2000	Capcom
ngp_rockmanbe	Fighting	1	horizontal	ngp_rockmanb	Rockman: Battle & Fighters (Hack, English v1.0)	2018-22	marc_max & RyuHayabusa
ngp_ruptusm	Multi-directional shooter	1	horizontal		Ruptus Mini (HB)	2025	Inufuto
ngp_samsho	Fighting	2	horizontal		Samurai Spirit! - Pocket Fighting Series (Euro, Japan)	1998	SNK
ngp_samsho2	Fighting	2	horizontal		Samurai Shodown! 2 - Pocket Fighting Series (World)	1999	SNK
ngp_shanghai	Puzzle	1	horizontal		Shanghai Mini (World)	1999	SNK - Activision
ngp_shanghaipj	Puzzle	1	horizontal	ngp_shanghai	Shanghai Mini (Japan, Prototype)	1999	SNK - Activision
ngp_shanghaipu	Puzzle	1	horizontal	ngp_shanghai	Shanghai Mini (USA, Prototype)	1999	SNK - Activision
ngp_shougi	Board / Strategy	2	horizontal		Shougi no Tatsujin (Japan)	1998	SNK - ADK Corp.
ngp_shougic	Board / Strategy	2	horizontal		Shougi no Tatsujin Color (Japan)	1999	SNK - ADK Corp.
ngp_snake	Action	1	horizontal		Snake (HB, v1.2)	2000	Ivan Mackintosh
ngp_snakea	Action	1	horizontal	ngp_snake	Snake (HB, v1.2, Alt)	2000	Ivan Mackintosh
ngp_snkgals	Fighting	2	horizontal		SNK Gals' Fighters (Euro, USA)	2000	SNK
ngp_snkgalsj	Fighting	2	horizontal	ngp_snkgals	SNK Gals' Fighters (Japan)	2000	SNK
ngp_sodchess	Board / Strategy	1	horizontal		SOD Chess (HB, v1.02)	2002	Thor
ngp_solitaire	Card	1	horizontal		Solitaire (HB)	2000	Ivan Mackintosh
ngp_sonic	Platform	1	horizontal		Sonic the Hedgehog: Pocket Adventure (World)	1999	SNK
ngp_sonicp	Platform	1	horizontal	ngp_sonic	Sonic the Hedgehog: Pocket Adventure (World, Prototype)	1999	Sega
ngp_sonicp2	Platform	1	horizontal	ngp_sonic	Sonic the Hedgehog: Pocket Adventure (World, Prototype 2)	1999	Sega
ngp_spaceinv	Vertical shooter	1	horizontal		Space Invaders (HB)	200x	Jim Bagley
ngp_srmp	Mahjong	2	horizontal		Super Real Mahjong: Premium Collection (Japan)	2001	SNK - Seta Corp.
ngp_svc	Fighting	2	horizontal		SNK vs. Capcom: The Match of the Millennium (World)	1999	SNK
ngp_svccard2	Card / RPG	2	horizontal		SNK vs. Capcom: Card Fighters 2 - Expand Edition (Japan)	2001	SNK
ngp_svccard2e	Card / RPG	2	horizontal	ngp_svccard2	SNK vs. Capcom: Card Fighters 2 - Expand Edition (Hack, English)	2017	The CFC2 Translation Team
ngp_svccardc	Card / RPG	2	horizontal		SNK vs. Capcom: Card Fighters' Clash - Capcom Ver. (Euro, USA)	1999	SNK
ngp_svccardcj	Card / RPG	2	horizontal	ngp_svccardc	SNK vs. Capcom: Gekitotsu Card Fighters - Capcom Ver. (Japan)	1999	SNK
ngp_svccardp	Card / RPG	2	horizontal	ngp_svccards	SNK vs. Capcom: Gekitotsu Card Fighters (Japan, Demo)	1999	SNK
ngp_svccards	Card / RPG	2	horizontal		SNK vs. Capcom: Card Fighters' Clash - SNK Ver. (Euro, USA)	1999	SNK
ngp_svccardsj	Card / RPG	2	horizontal	ngp_svccards	SNK vs. Capcom: Gekitotsu Card Fighters - SNK Ver. (Japan, v7)	1999	SNK
ngp_svccardsja	Card / RPG	2	horizontal	ngp_svccards	SNK vs. Capcom: Gekitotsu Card Fighters - SNK Ver. (Japan, v6)	1999	SNK
ngp_svellasm	Action / Maze	1	horizontal		Svellas Micro (HB)	2025	Inufuto
ngp_swordworkm	Action / Maze	1	horizontal		SwordWork Micro (HB)	2026	Inufuto
ngp_thieves	Card	1	horizontal		Thieves (HB)	2000	Ivan Mackintosh
ngp_tripledef	Multi-directional shooter	1	horizontal		Triple Defence (HB)	2026	Zhamul
ngp_tsunapn	Puzzle	1	horizontal		Renketsu Puzzle Tsunagete Pon! (Japan)	1998	SNK - Yumekobo
ngp_tsunapn2	Puzzle	1	horizontal	ngp_puzzlnk2	Tsunagete Pon! 2 (Japan)	1999	SNK - Yumekobo
ngp_tsunapnc	Puzzle	1	horizontal	ngp_puzzlink	Renketsu Puzzle Tsunagete Pon! Color (Japan)	1999	SNK - Yumekobo
ngp_wrestmad	Fighting	2	horizontal		Wrestling Madness (Euro, USA, Prototype)	2000	SNK
ngp_yewdowm	Action / Maze	1	horizontal		Yewdow Mini (HB)	2025	Inufuto
nhidctch	Misc	2	horizontal		New Hidden Catch (World) / New Tul Lin Gu Lim Chat Ki '98 (Korea) (pcb ver 3.02)	1999	Eolith
